iso_code,Sector,USA,MEX,CAN
USA,Primary,1613213547.994605,62880863.1724843,25746962.71176
USA,Secondary,1784097581.57239,81082130.495374,64806347.266627505
USA,Tertiary,2193809310.95319,10219452.465253467,30392397.064390004
MEX,Primary,30819200.6992604,86200590.094823,661584.1899243
MEX,Secondary,92850262.30422962,75139430.03106,4607973.1739239
MEX,Tertiary,3456212.784980219,163071271.9152289,1744679.1594290002
CAN,Primary,56533430.90478049,1923034.862865,227435692.002
CAN,Secondary,53591284.84869883,2911639.2257512896,190632179.3
CAN,Tertiary,1214719.013937631,11481.8331340996,276240576.97
